peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
52.63,1.71,V,27,50,5,0,2,0,0,N,2,4,4
73.12,1.7,V,70,0,0,2,0,0,0,N,2,4,4
67.55,1.71,M,43,0,4,4,11,8,0,N,2,4,4
54.27,1.69,M,29,0,15,0,18,11,0,N,1,2,3
53.25,1.72,M,63,30,14,3,0,10,0,N,1,3,3
49,1.65,M,45,120,16,0,6,8,0,N,1,0,1
78,1.64,M,53,0,0,1,3,9,0,N,0,0,1
47.82,1.63,M,51,0,10,0,0,1,2,N,3,4,3
74.23,1.64,M,53,0,0,6,0,5,0,N,2,4,3
56.39,1.77,V,27,120,4,7,14,5,0,N,2,4,4
68.85,1.64,M,46,0,0,3,14,4,0,N,4,4,4
73.1,1.61,V,36,0,0,0,8,11,0,N,0,2,2
86.78,1.77,V,21,0,0,1,0,0,0,N,0,0,0
59.8,1.66,M,40,0,3,0,8,0,0,N,2,4,4
60.28,1.83,V,29,0,15,2,0,0,2,N,1,3,4
61.66,1.58,M,18,0,0,3,7,4,0,N,2,4,4
83.01,1.78,V,42,0,0,3,0,0,0,S,2,2,1
81.79,1.7,M,60,0,0,4,0,8,0,N,1,1,0
70.26,1.69,M,44,0,5,0,9,11,0,N,0,2,1
62.47,1.75,M,54,0,3,0,0,0,0,N,1,3,3
64.28,1.61,M,41,0,0,2,0,3,0,S,2,4,3
77.82,1.73,V,43,0,0,4,1,0,0,N,0,1,0
66.67,1.71,V,41,0,10,2,0,14,0,N,3,4,3
67.24,1.64,M,50,0,0,5,0,0,0,N,1,4,4
69.23,1.72,V,26,0,8,0,0,2,0,N,1,0,0
78.09,1.75,V,43,0,0,2,20,14,0,N,2,2,3
80.52,1.77,V,39,0,0,0,0,0,0,N,2,3,2
58.72,1.63,M,59,0,3,0,4,0,0,N,2,4,3
49.6,1.66,M,48,20,11,5,0,0,0,N,1,3,2
71.59,1.72,V,53,0,0,0,4,0,0,N,1,2,0
51.53,1.66,M,33,10,0,4,0,3,0,N,1,1,1
72.73,1.81,V,27,0,0,0,0,0,0,N,3,4,4
71.38,1.62,M,37,0,0,0,0,1,0,N,1,2,1
83.96,1.77,V,18,0,0,3,11,1,0,N,0,0,0
51.87,1.67,M,28,0,13,0,0,3,1,N,1,3,4
72.54,1.68,M,28,0,7,0,13,19,0,N,0,2,0
66.41,1.66,M,39,0,0,0,5,0,0,N,1,3,4
52.2,1.5,M,42,0,0,5,5,0,0,N,2,3,3
49.6,1.66,M,27,70,5,1,7,0,0,N,1,3,2
57.67,1.79,V,40,150,0,3,19,11,0,N,2,2,2
59.31,1.62,M,34,0,4,1,4,1,0,N,0,2,3
50.8,1.68,M,42,110,0,0,0,3,3,N,2,3,0
85.9,1.73,V,48,0,0,0,17,15,0,N,0,0,1
53.25,1.72,V,55,40,13,4,15,20,0,N,1,2,3
55.73,1.61,M,35,0,4,1,0,3,0,N,2,2,3
66.36,1.61,M,52,0,0,5,0,4,0,N,2,4,2
64.7,1.67,M,42,0,0,0,0,0,0,N,2,3,4
65.73,1.59,M,38,0,0,2,0,1,0,S,3,3,3
63.38,1.66,M,27,0,0,0,0,0,0,N,3,4,4
76.92,1.73,V,40,0,0,3,2,4,0,N,2,4,4
61.16,1.58,M,36,0,0,0,13,8,0,N,2,3,4
47.82,1.63,M,33,70,0,1,0,2,0,N,1,3,4
60.83,1.78,V,75,0,12,3,0,4,0,N,0,2,2
70.63,1.76,V,22,0,8,0,0,0,0,N,0,0,0
86.65,1.68,M,33,0,0,1,0,8,0,N,0,0,2
43.25,1.55,M,56,30,9,10,1,0,0,N,3,3,2
64.03,1.54,M,59,0,0,2,2,7,0,N,1,3,2
65.58,1.61,M,35,0,0,3,0,0,0,N,1,3,3
67.46,1.68,M,33,0,2,3,16,4,0,N,2,2,3
83.11,1.67,M,29,0,0,6,0,2,0,N,1,1,0
48.41,1.64,M,47,60,1,0,20,7,0,N,1,1,1
65.63,1.64,M,63,0,0,0,9,7,0,N,1,3,3
52.02,1.7,M,29,130,2,0,1,0,0,N,0,2,1
50.2,1.67,M,42,50,0,3,0,0,0,S,2,2,2
63.98,1.65,M,36,0,0,0,0,0,0,N,1,2,3
50.8,1.68,M,29,30,3,3,2,5,0,N,3,4,4
64.79,1.72,V,52,0,10,0,0,6,0,N,1,2,2
54.78,1.54,M,30,0,4,1,14,11,2,N,0,1,1
46.08,1.6,V,53,30,0,0,18,10,0,N,2,2,3
76.33,1.66,M,22,0,0,1,5,0,0,N,1,1,1
84.11,1.9,V,23,0,0,0,0,0,0,N,2,4,4
80.42,1.79,V,36,0,0,0,0,0,0,N,1,1,1
75.97,1.69,M,42,0,5,6,9,11,0,N,1,1,1
79.11,1.69,M,36,0,0,1,8,11,0,N,1,1,0
64.21,1.66,M,55,0,4,0,5,7,0,N,2,3,3
55.12,1.75,V,29,230,3,3,8,5,0,N,3,3,3
54.6,1.64,M,31,0,12,1,0,0,0,N,2,1,1
70,1.67,M,73,0,0,0,0,6,0,N,2,2,1
64.02,1.61,M,49,0,0,0,0,0,0,N,1,3,4
60.14,1.57,M,64,0,9,0,21,23,0,N,1,3,4
59.38,1.56,M,39,0,8,7,0,8,0,N,1,2,2
52.63,1.71,V,27,90,0,0,16,13,0,N,3,4,4
74.27,1.71,V,52,0,0,0,12,11,1,N,1,2,1
52.63,1.71,V,44,40,0,1,9,0,0,N,2,4,4
56.46,1.55,M,30,0,0,0,3,0,0,N,2,4,4
76.62,1.73,V,46,0,0,0,13,3,0,N,2,2,3
55.12,1.75,V,44,30,0,1,1,0,0,S,0,1,1
55.12,1.75,V,45,10,6,0,12,11,0,N,0,2,2
77.05,1.88,V,46,0,0,0,0,0,2,N,1,3,3
50.8,1.68,M,36,0,21,0,1,4,1,N,2,3,3
77.32,1.81,V,47,0,0,0,10,2,0,N,3,3,3
62.13,1.72,V,55,10,0,2,3,0,0,N,0,0,0
82.94,1.8,M,35,0,0,0,0,0,0,N,1,1,1
61.59,1.64,M,21,0,0,0,0,1,0,N,3,4,4
50.2,1.67,M,35,190,5,3,0,1,7,N,2,3,3
65.79,1.6,M,33,0,0,2,10,5,0,N,0,1,1
85,1.73,V,23,0,0,2,6,6,0,N,0,0,0
49.5,1.5,M,18,10,0,2,0,3,0,N,0,0,1
52.63,1.71,V,49,120,0,0,0,0,0,N,0,1,1
73.36,1.61,M,57,0,0,5,4,4,0,N,3,4,4
86.97,1.75,V,39,0,0,5,0,3,0,N,0,2,3
53.14,1.63,M,18,0,14,7,11,4,0,N,2,4,2
75.39,1.74,M,23,0,0,2,21,3,0,S,3,2,2
60.71,1.65,M,38,0,1,2,10,0,2,N,1,1,2
55.76,1.76,V,18,50,5,1,1,6,0,N,2,4,4
55.12,1.75,V,53,120,0,0,4,4,0,N,2,4,3
64.49,1.74,V,45,0,7,0,12,5,0,S,1,2,2
75.69,1.69,M,47,0,0,1,19,8,0,N,1,2,2
82.08,1.77,V,59,0,0,9,6,3,0,N,1,3,4
69.52,1.75,V,76,0,0,0,13,2,0,N,3,4,3
47.24,1.62,M,30,130,4,4,0,0,2,N,1,1,3
72.53,1.63,M,40,0,0,5,0,0,0,S,1,1,0
58.97,1.81,V,37,50,0,0,0,3,0,N,0,1,1
57.39,1.63,M,40,0,0,2,0,0,1,N,2,4,2
86.06,1.75,V,59,0,0,3,3,4,0,N,0,2,0
56.73,1.71,M,48,10,3,5,0,7,0,N,1,2,4
75.89,1.76,V,34,0,0,1,16,4,0,N,2,4,4
57.51,1.7,M,42,0,8,0,22,10,0,S,1,4,3
49.6,1.66,M,37,0,0,0,1,0,7,N,2,2,2
70.6,1.62,M,31,0,0,1,0,1,0,N,1,0,2
77.7,1.77,V,62,0,6,9,2,2,0,N,1,3,4
82.62,1.8,V,57,0,0,2,0,0,0,N,2,3,2
56.39,1.77,V,57,180,0,3,0,0,0,N,1,1,2
69.01,1.71,V,55,0,0,0,10,0,0,N,0,2,2
58.85,1.76,V,37,10,0,1,17,14,0,N,1,3,4
81.16,1.76,V,49,0,0,6,0,0,0,N,0,1,2
74.77,1.78,V,64,0,0,0,0,0,0,N,0,2,2
82.71,1.77,V,55,0,0,4,8,10,0,S,2,3,4
56.39,1.77,V,33,0,20,1,0,3,0,N,0,3,4
57.67,1.79,V,54,20,12,0,0,0,3,N,2,3,4
50.8,1.68,V,29,10,0,2,10,1,3,N,2,4,4
72.43,1.73,V,49,0,0,0,0,0,0,N,2,2,2
69.12,1.64,M,28,0,0,6,18,5,1,N,1,1,1
52.63,1.71,V,74,30,0,0,14,11,0,N,0,0,1
50.8,1.68,V,18,0,17,5,20,8,0,N,2,4,4
57.67,1.79,V,37,40,2,2,12,13,0,N,2,0,0
58.98,1.63,M,31,0,4,2,1,0,0,N,0,2,2
61.61,1.85,V,42,130,5,3,4,2,0,N,0,3,3
48.41,1.64,V,47,170,15,0,0,0,0,N,2,4,4
76.03,1.72,V,39,0,1,1,25,7,0,N,1,1,0
79.54,1.71,M,50,0,1,9,0,0,0,N,1,2,2
78.68,1.76,V,39,0,0,0,7,6,0,N,2,2,3
62.21,1.61,M,38,0,0,0,0,0,0,N,2,3,3
48.41,1.64,V,48,0,19,4,0,4,0,N,2,3,2
92.62,1.76,V,18,0,0,0,10,8,0,N,0,0,0
72.06,1.74,V,53,0,0,0,0,6,0,N,1,4,4
80.68,1.8,V,44,0,4,0,0,5,0,N,1,2,3
55.76,1.76,M,37,30,16,3,0,0,0,N,2,1,1
79.03,1.68,M,18,0,0,0,0,13,1,N,1,4,4
52.63,1.71,V,24,20,0,0,0,0,0,N,2,3,4
58.97,1.81,V,73,0,17,3,17,12,0,S,2,3,2
65.38,1.72,V,62,0,8,1,2,0,0,N,1,1,1
75.44,1.71,V,48,0,5,4,0,0,0,N,0,2,2
79.93,1.74,V,36,0,0,4,2,0,0,N,0,3,4
51.41,1.69,V,39,30,7,1,11,8,0,N,2,2,2
66.62,1.61,M,51,0,1,3,10,4,0,N,0,2,2
49,1.65,M,35,160,0,0,1,3,0,N,1,1,2
63,1.7,M,60,0,6,2,7,0,0,N,1,2,3
69.15,1.68,M,33,0,3,1,0,0,0,S,1,2,0
65.61,1.65,M,25,0,5,0,1,0,0,N,1,2,3
67.71,1.62,M,36,0,0,0,5,1,0,N,0,0,0
55.98,1.69,M,37,0,12,5,1,3,0,N,0,2,3
68.2,1.7,V,54,0,6,0,0,0,0,N,0,0,0
73.07,1.72,M,43,0,2,1,13,11,0,N,1,3,3
65.38,1.72,M,50,0,6,0,0,0,0,N,2,3,3
82.62,1.8,V,28,0,1,6,7,3,0,N,2,1,1
53.25,1.72,V,27,120,0,6,10,5,1,N,1,4,4
70.32,1.76,V,46,0,0,0,9,6,2,N,0,2,2
55.76,1.76,V,30,10,10,0,0,0,0,N,2,4,2
73.66,1.72,M,29,0,0,1,1,5,0,N,2,3,4
79.47,1.7,M,46,0,0,5,0,6,0,N,2,2,2
46.66,1.61,M,55,0,0,3,0,2,8,N,1,2,2
73.66,1.72,V,18,0,0,2,0,0,0,N,4,4,3
55.11,1.62,M,46,0,13,3,2,11,0,N,0,1,3
77.79,1.75,M,42,0,0,0,3,2,0,N,0,1,2
53.87,1.73,V,46,190,0,5,0,0,12,N,2,3,3
58.9,1.64,M,41,10,0,3,5,7,0,N,1,2,2
64.08,1.79,V,35,0,0,5,4,10,6,N,1,3,3
75.07,1.86,V,63,0,5,2,0,0,0,N,1,2,4
71.92,1.66,M,18,0,0,5,4,1,0,N,1,3,4
50.8,1.68,V,39,10,24,1,18,2,0,N,1,1,0
72.66,1.74,V,44,0,0,0,0,0,0,N,2,3,2
49.6,1.66,M,49,160,0,4,0,0,0,N,1,3,4
47.24,1.62,M,37,40,2,9,3,4,3,N,2,4,4
48.41,1.64,M,23,50,0,3,1,2,0,N,1,0,0
75.82,1.8,V,40,0,6,2,0,1,NA,N,1,2,3
65.79,1.6,M,18,0,0,0,0,0,0,N,1,1,0
53.25,1.72,V,42,60,0,0,11,6,0,N,0,2,1
72.27,1.63,M,37,0,3,4,0,4,0,N,0,2,2
79.88,1.72,V,20,0,0,1,0,0,0,N,1,2,3
50.2,1.67,M,41,150,0,0,12,9,2,N,1,2,1
59.62,1.82,V,25,130,18,0,7,4,0,N,1,1,1
67.34,1.7,M,57,0,0,0,0,0,0,N,1,3,3
74.2,1.8,V,34,0,6,0,10,3,0,N,0,0,0
77.45,1.7,M,44,0,0,0,11,11,0,N,2,3,3
50.8,1.68,M,29,70,3,0,16,5,NA,N,2,3,4
81.43,1.78,V,37,0,0,0,12,0,0,N,0,1,0
49.6,1.66,M,33,20,12,2,0,9,0,N,0,0,1
103.15,1.83,V,40,0,0,5,17,15,0,N,1,1,0
74.86,1.71,V,54,0,0,2,17,3,0,N,0,1,0
78.07,1.71,M,27,0,6,0,8,10,0,N,0,0,0
72.06,1.74,V,56,0,6,0,0,0,0,N,0,0,0
50.8,1.68,M,43,50,2,0,14,13,0,N,0,3,3
82.3,1.8,V,61,0,0,1,1,5,0,N,2,3,4
47.82,1.63,M,27,0,19,0,0,0,0,N,2,3,3
57.59,1.66,V,34,0,0,3,15,1,2,N,1,4,2
72.2,1.66,M,25,0,0,4,0,0,0,N,1,2,0
89.3,1.7,V,31,0,0,6,33,24,0,N,1,1,0
71.8,1.61,M,43,0,0,0,0,11,0,N,1,3,2
61.15,1.62,M,33,0,0,3,2,0,0,N,2,3,4
61.95,1.73,V,42,0,6,3,0,1,1,N,2,4,4
70.33,1.73,M,18,0,7,4,3,3,1,N,1,0,0
70.97,1.78,V,46,0,5,3,7,0,0,N,3,3,4
74.26,1.72,V,35,0,0,0,3,2,0,N,0,2,1
54.5,1.74,V,19,130,16,2,22,15,6,N,1,1,1
69.35,1.63,M,71,0,0,3,16,9,0,N,0,1,1
55.12,1.75,V,51,60,30,0,0,4,0,N,1,1,1
57.67,1.79,V,33,10,0,1,0,0,0,N,2,2,2
70.01,1.76,V,30,0,3,0,1,5,0,S,2,3,4
49.6,1.66,M,18,20,0,2,0,0,0,S,1,2,2
49.6,1.66,M,46,40,0,0,4,9,0,N,1,2,1
74.82,1.73,V,30,0,0,0,12,10,0,N,1,4,4
63.28,1.77,V,25,0,6,0,0,0,0,N,3,2,3
51.41,1.69,M,21,20,0,6,3,5,0,N,0,3,3
53.25,1.72,V,53,60,10,0,5,0,0,N,0,2,2
73.82,1.78,V,69,0,5,7,0,2,0,N,1,3,2
55.76,1.76,M,43,40,3,1,15,8,0,N,1,1,1
59.62,1.82,V,36,30,0,1,14,3,3,N,1,1,1
58.32,1.8,V,33,70,6,0,0,7,0,N,1,2,1
76.76,1.77,V,57,0,0,5,0,0,0,N,2,4,3
50.2,1.67,M,43,80,0,4,12,11,0,N,2,2,2
69.7,1.76,V,24,0,6,2,6,0,0,N,2,2,1
55.12,1.75,M,45,90,1,4,2,5,3,N,2,4,4
60.46,1.73,V,48,0,0,0,0,0,4,N,1,2,2
65.58,1.61,M,41,0,0,2,11,1,0,N,1,3,4
61.25,1.75,V,38,0,12,1,4,0,0,N,0,2,2
66.7,1.64,M,70,0,0,4,5,6,0,N,3,4,3
59.28,1.79,V,42,0,0,3,4,3,5,N,1,3,3
51.41,1.69,V,23,20,5,0,20,5,0,N,4,4,4
55.12,1.75,V,56,50,3,0,0,11,2,N,3,3,1
62.97,1.77,V,32,0,6,0,6,4,0,N,1,4,4
68.84,1.73,M,30,0,7,7,0,0,0,N,3,4,4
52.63,1.71,M,59,80,4,0,2,6,0,N,0,0,1
51.41,1.69,M,50,100,0,0,11,8,0,N,0,1,2
49.6,1.66,M,58,110,9,6,2,0,0,N,2,3,3
58.97,1.81,V,47,70,11,2,11,11,0,N,3,3,3
75.72,1.7,V,39,0,0,0,9,0,0,N,1,3,2
53.87,1.73,M,58,0,9,1,11,11,5,N,1,1,1
77.86,1.79,V,46,0,0,1,2,3,0,N,3,4,4
71.86,1.76,V,50,0,2,2,0,1,0,N,3,3,2
75.43,1.7,M,30,0,0,3,8,13,3,S,0,0,1
88.66,1.77,M,28,0,0,5,7,8,0,N,0,1,1
65.88,1.65,M,69,0,0,1,1,0,0,N,1,4,4
62.25,1.73,V,18,0,8,0,27,8,0,N,3,3,2
60.67,1.6,M,31,0,8,3,0,0,0,N,0,1,0
63.45,1.73,V,23,0,10,0,11,8,0,N,1,3,4
85.8,1.86,V,33,0,0,0,10,10,0,N,2,4,4
60.17,1.65,M,29,0,10,1,0,0,0,N,2,1,2
78.68,1.76,V,49,0,0,0,6,4,0,N,1,2,1
75.58,1.62,M,18,0,0,2,13,10,0,N,1,1,1
59.62,1.82,V,38,80,0,2,12,0,0,N,0,1,3
67.45,1.62,M,34,0,0,3,4,8,0,N,2,4,4
55.21,1.61,M,39,0,0,0,0,0,3,N,2,3,3
58.17,1.58,M,46,0,0,1,11,4,0,S,3,4,4
68.26,1.69,M,18,0,7,6,8,3,0,N,1,3,2
60.94,1.72,V,46,0,9,4,0,2,3,N,0,0,0
52.63,1.71,V,19,0,27,5,0,14,0,N,1,2,2
71.06,1.71,M,37,0,0,0,9,0,0,N,0,1,0
73.87,1.82,V,26,0,0,0,7,0,0,S,3,4,4
77.51,1.72,M,43,0,0,0,1,0,0,N,0,1,0
78.09,1.75,V,87,0,0,0,18,14,0,N,1,2,3
52.63,1.71,V,28,220,0,1,0,0,3,N,1,3,4
67.05,1.7,M,35,0,0,0,3,2,2,N,0,1,2
51.41,1.69,V,46,90,17,10,0,9,0,N,1,1,0
52.02,1.7,V,59,0,13,0,3,6,0,N,3,3,3
52.63,1.71,M,59,90,0,0,5,0,0,N,1,0,0
78.93,1.67,M,49,0,0,3,8,6,0,N,1,2,2
68.6,1.75,V,25,0,5,4,2,3,0,N,1,4,4
63.71,1.65,M,37,0,6,2,20,4,1,N,0,0,0
52.63,1.71,M,60,30,9,7,15,9,0,N,0,1,1
78.81,1.66,M,18,0,0,2,3,0,0,N,1,2,0
50.8,1.68,V,52,30,0,2,0,4,0,N,2,4,2
87.43,1.71,V,21,0,0,0,7,17,0,N,1,1,1
60.67,1.6,M,46,0,6,0,5,7,0,N,1,3,4
48.41,1.64,M,44,0,11,0,5,0,0,N,0,3,3
88.78,1.8,V,30,0,0,2,0,3,0,N,0,0,1
49,1.65,M,32,0,18,4,0,0,0,N,2,3,3
55.12,1.75,M,60,30,3,2,0,6,0,N,2,2,2
49,1.65,M,38,80,0,0,0,0,0,N,0,2,3
58,1.62,M,48,0,7,0,0,0,0,N,0,1,0
49,1.65,M,51,20,1,4,0,6,0,N,3,2,3
46.66,1.61,V,25,30,0,1,0,0,0,N,1,1,2
59.95,1.74,V,33,0,15,0,0,5,0,N,1,2,4
52.02,1.7,V,47,90,9,3,12,0,0,N,1,1,2
56.27,1.73,V,39,0,16,2,5,4,0,N,1,1,0
78.09,1.67,M,45,0,0,6,7,9,0,N,2,1,1
55.12,1.75,V,45,0,21,0,5,0,0,N,1,1,1
54.69,1.61,M,24,10,0,9,0,0,0,N,1,1,3
55.12,1.75,V,18,140,0,2,11,4,0,N,0,0,0
77.17,1.75,M,35,0,10,2,14,11,0,N,0,0,1
72.97,1.74,V,23,0,0,0,26,11,0,N,3,4,4
46.66,1.61,M,47,100,6,0,3,0,3,N,0,1,1
73.98,1.7,V,49,0,0,5,2,0,0,N,2,2,1
51.81,1.66,M,55,0,6,4,1,4,4,N,1,3,4
70.76,1.84,V,59,0,8,3,2,0,0,N,2,4,4
45.51,1.59,M,84,20,0,0,13,8,0,N,0,1,2
65.79,1.71,V,52,0,9,4,1,3,0,N,1,2,3
61.02,1.76,V,40,0,13,2,14,0,0,N,1,1,2
55.76,1.76,V,56,40,0,0,11,7,0,N,3,4,4
72.15,1.65,M,21,0,0,4,0,3,2,N,0,1,1
83.61,1.75,V,29,0,0,1,2,4,0,N,1,2,3
49.6,1.66,M,39,0,27,1,13,5,0,N,1,2,3
53.87,1.73,V,51,20,11,0,13,8,NA,N,2,2,2
63.39,1.75,V,50,0,9,3,0,3,0,N,0,2,2
49,1.65,M,60,90,0,1,0,0,0,S,3,4,2
83.96,1.77,V,60,0,0,2,0,0,0,N,0,0,0
65.61,1.62,M,27,0,0,1,7,7,0,N,3,4,4
59.62,1.61,M,28,0,0,0,7,2,1,N,1,3,2
53.25,1.72,V,51,10,5,1,0,0,0,N,1,3,3
65.68,1.72,M,58,0,3,2,0,0,0,N,2,4,4
52.63,1.71,V,38,180,0,0,5,3,4,N,0,0,0
66.3,1.6,M,26,0,7,0,16,24,0,N,3,4,3
47.82,1.63,M,50,160,0,3,4,4,0,N,0,1,1
46.26,1.59,M,44,0,0,1,12,0,6,N,1,2,1
66.24,1.59,M,23,0,0,5,5,0,0,N,0,2,2
80.42,1.79,V,41,0,3,3,0,0,0,N,1,1,0
82.3,1.8,V,49,0,0,0,7,0,0,N,0,0,0
59.14,1.6,M,22,0,5,0,7,0,0,N,3,4,3
69.01,1.71,M,55,0,6,4,0,0,0,N,0,0,2
66.97,1.65,M,31,0,8,0,17,18,0,N,2,2,0
48.55,1.62,M,37,0,18,0,16,11,0,N,2,2,1
73.31,1.59,M,33,0,0,2,12,9,0,N,1,1,0
50.8,1.68,M,30,50,0,0,6,0,0,N,3,4,4
47.82,1.63,M,53,60,0,4,17,5,0,N,1,1,2
75.49,1.8,V,44,0,0,1,0,1,2,N,1,0,0
62.83,1.69,M,63,0,6,2,10,2,0,N,1,2,3
50.8,1.68,M,51,40,6,0,18,4,0,N,0,0,0
68.23,1.62,M,46,0,0,5,10,4,0,N,2,4,4
45.51,1.59,M,40,30,0,1,5,6,0,N,0,3,2
78.01,1.77,V,37,0,4,6,0,0,0,N,1,1,1
73.72,1.76,V,26,0,0,0,4,0,0,N,1,4,4
78.11,1.73,V,49,0,0,1,8,0,0,N,1,1,3
56.39,1.77,V,63,30,0,0,0,1,0,N,1,1,1
64.82,1.64,M,35,0,3,3,0,3,0,N,3,4,4
75.5,1.77,V,63,0,0,0,0,0,0,N,2,3,2
74.18,1.74,V,26,0,7,3,0,0,0,N,0,0,0
83.01,1.78,V,42,0,0,0,8,6,0,N,1,2,2
64.25,1.65,M,50,0,0,0,3,1,0,N,2,4,4
58.32,1.8,V,23,0,29,4,2,0,0,N,1,1,1
53.87,1.73,M,30,20,10,0,13,8,0,N,3,4,4
67.75,1.63,M,34,0,0,2,0,0,0,S,0,1,1
48.41,1.64,V,18,30,0,0,0,0,0,N,2,2,2
73.34,1.86,V,27,0,4,0,4,5,3,N,1,0,0
50.2,1.67,M,57,30,0,2,5,0,0,N,1,3,3
55.17,1.58,M,33,0,4,1,3,0,0,N,1,4,4
46.66,1.61,M,51,120,16,0,0,0,6,N,1,3,3
56.39,1.77,V,58,50,8,0,7,3,0,N,3,4,3
53.25,1.72,M,27,40,0,1,0,5,0,N,0,2,2
81.47,1.76,V,39,0,0,0,11,2,0,N,1,0,1
86.49,1.81,V,31,0,0,0,17,9,0,N,1,2,2
52.02,1.7,M,40,140,8,4,7,0,0,N,0,1,0
52.02,1.7,V,32,60,0,0,16,0,0,S,1,2,2
53.25,1.72,V,55,40,0,3,0,0,0,N,1,1,2
49.6,1.66,M,50,0,15,1,13,2,0,N,2,4,3
47.24,1.62,M,63,30,3,0,3,0,0,N,1,2,1
74.85,1.7,M,53,0,5,6,9,7,0,N,2,1,2
76.6,1.74,V,48,0,0,2,0,0,0,N,0,2,2
50.8,1.68,M,29,70,6,2,4,4,0,N,2,4,2
47.24,1.62,M,41,20,3,1,12,13,0,N,3,4,4
61.61,1.85,V,28,130,12,2,0,0,0,N,2,2,2
73.66,1.72,M,18,0,4,3,0,1,0,N,2,2,0
82.38,1.75,V,32,0,0,0,3,6,0,N,1,2,3
57.67,1.79,V,32,140,0,0,13,6,0,N,3,4,4
52.63,1.71,V,56,100,0,4,0,0,0,N,0,1,2
66.1,1.8,V,48,0,13,2,0,3,0,N,2,2,2
62.73,1.61,M,25,0,0,0,10,0,0,N,2,3,1
48.41,1.64,M,56,0,0,1,1,0,9,N,2,4,4
56.16,1.62,M,29,0,11,0,0,9,0,N,1,2,1
57.44,1.65,M,47,0,6,1,0,0,0,N,0,2,1
67.38,1.75,V,55,0,7,0,10,4,0,S,0,1,2
48.41,1.64,M,66,90,0,5,0,0,0,N,1,2,2
67.51,1.66,M,37,0,0,0,9,1,0,N,0,2,2
66.05,1.6,M,36,0,4,0,6,18,0,N,4,4,3
47.13,1.52,M,23,0,0,1,6,0,3,N,1,4,4
49.6,1.66,M,29,60,0,3,3,0,2,N,2,3,4
64.58,1.57,M,32,0,0,2,5,0,0,N,0,1,0
78,1.64,M,44,0,0,0,0,3,0,N,1,2,1
77.75,1.76,V,29,0,0,0,17,8,0,S,1,4,4
52.02,1.7,V,39,110,0,2,10,8,0,S,1,2,3
55.12,1.75,V,54,150,18,0,11,4,5,N,2,2,3
84.91,1.78,V,24,0,0,4,0,5,0,N,1,3,4
68.76,1.62,M,28,0,0,5,7,0,0,S,0,1,0
59.62,1.82,V,62,40,0,0,2,2,0,N,0,1,2
88.89,1.73,V,18,0,0,5,4,8,0,N,0,0,0
51.41,1.69,M,41,100,7,1,11,6,7,N,1,1,1
62.44,1.63,M,33,0,4,0,1,0,0,N,1,2,2
57.03,1.78,V,19,210,0,0,3,0,6,N,2,2,0
55.12,1.75,V,18,20,12,3,0,0,1,N,1,1,1
46.08,1.6,M,38,130,21,5,0,3,0,N,2,4,4
44.37,1.57,M,42,0,20,0,2,0,0,N,3,4,4
63.77,1.61,M,57,0,0,2,0,0,0,N,2,3,2
66.08,1.71,M,53,0,8,6,0,1,0,N,1,1,1
66.31,1.83,V,37,0,14,7,3,3,0,N,3,4,3
49,1.65,V,53,220,0,1,5,4,0,N,2,3,4
49.6,1.66,M,52,100,0,1,12,7,1,N,3,3,2
67.49,1.67,V,47,0,0,3,0,0,0,N,1,3,2
85.86,1.78,V,37,0,0,3,22,10,0,N,1,1,2
81.75,1.74,V,23,0,0,3,14,7,1,N,1,2,2
45.51,1.59,M,72,90,0,2,3,6,0,N,3,3,4
52.18,1.54,M,49,0,7,1,13,3,0,N,1,2,1
75.31,1.64,M,48,0,2,4,14,13,0,N,2,1,0
58.97,1.81,V,62,40,0,0,15,4,0,N,1,4,3
44.94,1.58,M,42,20,0,0,0,0,0,N,2,2,2
62.95,1.55,M,41,0,0,1,26,17,0,N,2,4,4
60.78,1.77,V,68,0,12,0,16,10,0,N,2,2,0
58.32,1.8,V,40,150,0,0,0,3,5,N,1,2,3
63.43,1.65,M,18,0,6,0,5,0,0,N,1,2,4
75.78,1.66,M,54,0,0,7,12,10,0,N,1,2,4
44.37,1.57,M,49,70,0,7,10,8,0,N,3,2,3
52.63,1.71,M,18,20,16,0,0,0,0,S,2,4,4
74.96,1.76,V,63,0,0,1,0,0,0,N,1,3,2
68.12,1.74,V,45,0,4,3,0,0,0,N,1,2,1
76.83,1.69,M,18,0,0,3,3,0,0,N,1,2,4
53.25,1.72,V,52,0,26,1,18,2,0,N,2,4,4
71.68,1.6,M,18,0,0,2,20,13,0,N,2,3,4
72.54,1.69,V,65,0,0,0,15,1,0,N,0,0,0
64.16,1.58,M,55,0,0,3,6,3,0,N,1,2,1
59.62,1.82,V,69,130,0,2,0,0,0,N,2,1,0
55.76,1.76,V,54,0,19,2,0,1,0,N,1,2,1
73.1,1.71,V,37,0,4,1,0,8,0,N,2,4,4
49,1.65,M,65,40,0,3,2,6,0,N,2,1,0
52.02,1.7,V,51,30,9,0,0,0,0,N,3,4,3
54.5,1.74,V,47,0,15,1,8,6,0,N,2,4,3
52.63,1.71,V,48,0,16,0,0,0,0,N,3,4,4
60.94,1.84,V,32,40,7,2,6,9,0,N,1,2,1
44.37,1.57,M,80,130,14,1,0,2,2,N,2,2,3
